script_id,scenes,chars,parse_p95_ms,graph_p95_ms,delete_impact_p95_ms,tier1_p95_ms,tier2_p95_ms,full_p95_ms,contradictions_found,notes
synthetic_12,,,,,,,,,,
contradiction_12,,,,,,,,,,
real_22,,,,,,,,,,
long_120,,,,,,,,,,
